
Episode: 409/5000, score: 90, cumulative reward: -268.35723746403755
Episode: 410/5000, score: 57, cumulative reward: -209.76662841483608
Episode: 411/5000, score: 85, cumulative reward: -247.1739365985777
Episode: 412/5000, score: 50, cumulative reward: -293.9957343352126
Episode: 413/5000, score: 53, cumulative reward: -313.0912909334434
Episode: 414/5000, score: 50, cumulative reward: -268.62240039292726
Episode: 415/5000, score: 71, cumulative reward: -199.60078788838663
Episode: 416/5000, score: 60, cumulative reward: -230.00720454634137
Episode: 417/5000, score: 61, cumulative reward: -285.4997568874506
Episode: 418/5000, score: 56, cumulative reward: -242.8945042355039
Episode: 419/5000, score: 77, cumulative reward: -334.2750694970283
Episode: 420/5000, score: 85, cumulative reward: -321.12943886319385
Episode: 421/5000, score: 52, cumulative reward: -280.5999223014351
Episode: 422/5000, score: 90, cumulative reward: -289.4320867999308
Episode: 423/5000, score: 56, cumulative reward: -200.90817478878648
Episode: 424/5000, score: 63, cumulative reward: -341.6687381452707
Episode: 425/5000, score: 55, cumulative reward: -314.74974476830175
Episode: 426/5000, score: 67, cumulative reward: -283.02153374605626
Episode: 427/5000, score: 57, cumulative reward: -328.54386346088444
Episode: 428/5000, score: 63, cumulative reward: -353.25537533965894
Episode: 429/5000, score: 84, cumulative reward: -244.49172503088027
Episode: 430/5000, score: 55, cumulative reward: -212.0902597598143
Episode: 431/5000, score: 67, cumulative reward: -248.65827347084118
Episode: 432/5000, score: 81, cumulative reward: -156.4460341474117
Episode: 433/5000, score: 60, cumulative reward: -129.9571664699839
Episode: 434/5000, score: 68, cumulative reward: -126.42207590040735
Episode: 435/5000, score: 80, cumulative reward: 18.144840435064197
Episode: 436/5000, score: 73, cumulative reward: -136.78660636350463
Episode: 437/5000, score: 58, cumulative reward: -104.83476133398142
Episode: 438/5000, score: 112, cumulative reward: 2.799420208903882
Episode: 439/5000, score: 59, cumulative reward: -103.73173683767189
Episode: 440/5000, score: 73, cumulative reward: -154.42348777498742
Episode: 441/5000, score: 68, cumulative reward: -56.76524343319497
Episode: 442/5000, score: 84, cumulative reward: -134.3712751631742
Episode: 443/5000, score: 80, cumulative reward: -146.2645390988814
Episode: 444/5000, score: 56, cumulative reward: -91.58171980967023
Episode: 445/5000, score: 70, cumulative reward: -169.70043968302596
Episode: 446/5000, score: 69, cumulative reward: -140.29135545494717
Episode: 447/5000, score: 116, cumulative reward: -30.59755320293678
Episode: 448/5000, score: 68, cumulative reward: -174.94764935779904
Episode: 449/5000, score: 62, cumulative reward: -154.89299482924682
Episode: 450/5000, score: 57, cumulative reward: -138.45850361831324
Episode: 451/5000, score: 66, cumulative reward: -140.00916033604827
Episode: 452/5000, score: 80, cumulative reward: -95.17943937326137
