Using device: cuda
模型状态字典已保存至 c:\Users\isrya\#MyFiles\#MyCode\GithubUoL\COMP532\AS02\models\model_0.pth
Episode: 1603/10000, time: 246, truncated: False, cumulative reward: -172.98677611177072
Episode: 1618/10000, time: 213, truncated: False, cumulative reward: -71.79813251517794
模型状态字典已保存至 c:\Users\isrya\#MyFiles\#MyCode\GithubUoL\COMP532\AS02\models\model_0.pth
Episode: 1718/10000, time: 125, truncated: False, cumulative reward: -125.95279060301294
Episode: 1721/10000, time: 124, truncated: False, cumulative reward: -135.54660181901744
Episode: 1732/10000, time: 181, truncated: False, cumulative reward: -99.96622375460686
Episode: 1735/10000, time: 158, truncated: False, cumulative reward: -92.12319674941811
Episode: 1742/10000, time: 261, truncated: False, cumulative reward: -66.520875517865
Episode: 1762/10000, time: 273, truncated: False, cumulative reward: -114.22035918998598
Episode: 1795/10000, time: 92, truncated: False, cumulative reward: -118.16968832084409
模型状态字典已保存至 c:\Users\isrya\#MyFiles\#MyCode\GithubUoL\COMP532\AS02\models\model_0.pth
Episode: 1863/10000, time: 275, truncated: False, cumulative reward: -93.00746870124733
Episode: 1873/10000, time: 259, truncated: False, cumulative reward: -72.11217448779367
Episode: 1874/10000, time: 242, truncated: False, cumulative reward: -96.65859920752551
Episode: 1877/10000, time: 244, truncated: False, cumulative reward: -92.16837700929824
Episode: 1881/10000, time: 214, truncated: False, cumulative reward: -96.7436543582364
Episode: 1887/10000, time: 249, truncated: False, cumulative reward: -132.8828328656537
Episode: 1888/10000, time: 87, truncated: False, cumulative reward: -360.0063465142683
Episode: 1891/10000, time: 125, truncated: False, cumulative reward: -121.72674806782067
Episode: 1892/10000, time: 263, truncated: False, cumulative reward: -120.22116561421342
Episode: 1893/10000, time: 182, truncated: False, cumulative reward: -130.04353990344035
Episode: 1895/10000, time: 288, truncated: False, cumulative reward: -160.34595602649597
Episode: 1897/10000, time: 200, truncated: False, cumulative reward: -101.48306499344166
Episode: 1899/10000, time: 245, truncated: False, cumulative reward: -143.58934384384452
模型状态字典已保存至 c:\Users\isrya\#MyFiles\#MyCode\GithubUoL\COMP532\AS02\models\model_0.pth
Episode: 1908/10000, time: 187, truncated: False, cumulative reward: -118.33401717895818
Episode: 1911/10000, time: 123, truncated: False, cumulative reward: -44.90880793094932
Episode: 1915/10000, time: 224, truncated: False, cumulative reward: -149.01036137658622
Episode: 1933/10000, time: 162, truncated: False, cumulative reward: -121.55135990639498
Episode: 1934/10000, time: 175, truncated: False, cumulative reward: -94.00477137188011
Episode: 1944/10000, time: 187, truncated: False, cumulative reward: -121.03241197066248
Episode: 1945/10000, time: 211, truncated: False, cumulative reward: -52.80629339173891
Episode: 1946/10000, time: 179, truncated: False, cumulative reward: -116.53533255843297
Episode: 1949/10000, time: 268, truncated: False, cumulative reward: -106.19235469092216
Episode: 1950/10000, time: 195, truncated: False, cumulative reward: -61.27810969714427
Episode: 1952/10000, time: 219, truncated: False, cumulative reward: -123.90902279874331
Episode: 1953/10000, time: 249, truncated: False, cumulative reward: -97.10518186284361
Episode: 1954/10000, time: 191, truncated: False, cumulative reward: -101.35669254860122
Episode: 1968/10000, time: 189, truncated: False, cumulative reward: -87.6911910916467
Episode: 1977/10000, time: 261, truncated: False, cumulative reward: -103.79586994411898
Episode: 1978/10000, time: 135, truncated: False, cumulative reward: -141.91367794972746
Episode: 1982/10000, time: 143, truncated: False, cumulative reward: -144.73855750208554
Episode: 1988/10000, time: 130, truncated: False, cumulative reward: -122.9354640068451
Episode: 1993/10000, time: 237, truncated: False, cumulative reward: -78.96365335999326
Episode: 1998/10000, time: 195, truncated: False, cumulative reward: -76.11209180393702
模型状态字典已保存至 c:\Users\isrya\#MyFiles\#MyCode\GithubUoL\COMP532\AS02\models\model_0.pth
Episode: 2002/10000, time: 170, truncated: False, cumulative reward: -86.38609946201073
Episode: 2003/10000, time: 123, truncated: False, cumulative reward: -125.05099744538336
Episode: 2012/10000, time: 251, truncated: False, cumulative reward: -119.91756843422007
Episode: 2016/10000, time: 161, truncated: False, cumulative reward: -78.54035869621819
